id,full_name,MaleFemale,age,region,salary,commission,total_compensation,month,employee_type
N-080,Mariana Garcia,Masculino,40,Ciudad de México,5935.87,4694.95,10630.82,Enero,Becario
N-081,Carlos Lopez,Femenino,48,Nuevo León,6029.21,1336.42,7365.63,Enero,Tiempo Completo
N-082,Miguel Gonzalez,Masculino,27,Chihuahua,11980.87,9854.31,21835.18,Enero,Tiempo Completo
N-083,Mariana Martinez,Femenino,50,Nuevo León,13696.01,1090.65,14786.66,Enero,Por Hora
N-084,Sofia Gonzalez,Masculino,18,Veracruz,5527.99,4847.84,10375.83,Enero,Por Hora
N-085,Alejandro Rodriguez,Masculino,19,Chihuahua,8162.31,7543.75,15706.060000000001,Enero,Por Hora
N-086,Carlos Garcia,Masculino,23,Puebla,20738.92,7580.18,28319.1,Enero,Por Hora
N-087,Mariana Ramirez,Masculino,29,Veracruz,19507.99,1690.66,21198.65,Enero,Por Hora
N-088,Sofia Garcia,Femenino,44,Nuevo León,23351.76,2186.49,25538.25,Enero,Por Hora
N-089,Mariana Garcia,Femenino,59,Puebla,11169.15,9660.26,20829.41,Enero,Tiempo Completo
N-090,Javier Sanchez,Masculino,51,Chihuahua,23180.83,1853.39,25034.22,Enero,Becario
N-091,Rodrigo Lopez,Femenino,58,Sonora,7269.64,739.59,8009.2300000000005,Enero,Becario
N-092,Claudia Martinez,Masculino,55,Tamaulipas,5189.31,7619.01,12808.32,Enero,Becario
N-093,Miguel Ramirez,Femenino,18,Sonora,12631.5,9760.26,22391.760000000002,Enero,Tiempo Completo
N-094,Rodrigo Gonzalez,Femenino,52,Sonora,9089.01,537.54,9626.55,Enero,Tiempo Completo
N-095,Maria Sanchez,Femenino,49,Nuevo León,17374.66,7400.39,24775.05,Enero,Tiempo Completo
N-096,Alejandro Sanchez,Femenino,42,Nuevo León,13276.54,6215.65,19492.190000000002,Enero,Tiempo Completo
N-097,Claudia Garcia,Femenino,42,Puebla,21991.61,9430.64,31422.25,Enero,Por Hora
N-098,Javier Perez,Masculino,21,Nuevo León,8899.76,3791.74,12691.5,Enero,Por Hora
N-099,Carlos Martinez,Femenino,41,Sonora,22011.5,5303.34,27314.84,Enero,Por Hora
N-100,Javier Lopez,Femenino,50,Michoacán,9909.3,9166.94,19076.239999999998,Enero,Becario
N-101,Daniela Hernandez,Femenino,47,Ciudad de México,11123.9,2159.13,13283.029999999999,Febrero,Becario
N-102,Sofia Rodriguez,Masculino,43,Michoacán,12081.71,9591.14,21672.85,Febrero,Por Hora
N-103,Mariana Rodriguez,Femenino,53,Sonora,6699.15,2323.94,9023.09,Febrero,Tiempo Completo
N-104,Carlos Perez,Masculino,65,Jalisco,7304.73,6197.91,13502.64,Febrero,Becario
N-105,Claudia Gonzalez,Masculino,62,Sonora,21760.26,8330.37,30090.629999999997,Febrero,Tiempo Completo
N-106,Carlos Martinez,Masculino,48,Tamaulipas,17143.48,206.08,17349.56,Febrero,Por Hora
N-107,Rodrigo Ramirez,Femenino,43,Chihuahua,17066.64,3063.36,20130.0,Febrero,Becario
N-108,Carlos Garcia,Femenino,18,Chihuahua,21669.19,112.49,21781.68,Febrero,Tiempo Completo
N-109,Daniela Hernandez,Femenino,27,Michoacán,12813.08,2307.93,15121.01,Febrero,Becario
N-110,Daniela Ramirez,Masculino,55,Puebla,8446.29,7628.66,16074.95,Febrero,Becario
N-111,Miguel Sanchez,Femenino,18,Tamaulipas,21117.38,2627.82,23745.2,Febrero,Becario
N-112,Sofia Perez,Femenino,50,Guerrero,20562.37,7741.75,28304.12,Febrero,Por Hora
N-113,Daniela Flores,Femenino,52,Veracruz,20549.22,440.88,20990.100000000002,Febrero,Tiempo Completo
N-114,Maria Perez,Femenino,60,Sonora,16134.33,9540.58,25674.91,Febrero,Becario
N-115,Claudia Rodriguez,Masculino,29,Michoacán,14035.09,3578.94,17614.03,Febrero,Becario
N-116,Javier Martinez,Masculino,28,Chihuahua,7491.93,627.82,8119.75,Febrero,Tiempo Completo
N-117,Claudia Rodriguez,Femenino,44,Jalisco,24530.04,347.04,24877.08,Febrero,Becario
N-118,Daniela Ramirez,Masculino,62,Sonora,8101.31,823.64,8924.95,Febrero,Tiempo Completo
N-119,Miguel Gonzalez,Femenino,30,Puebla,9851.22,8469.87,18321.09,Febrero,Becario
N-120,Alejandro Gonzalez,Masculino,61,Ciudad de México,6764.49,8128.02,14892.51,Febrero,Tiempo Completo
N-121,Sofia Perez,Femenino,51,Nuevo León,12079.31,9587.08,21666.39,Febrero,Tiempo Completo
N-122,Sofia Sanchez,Femenino,55,Ciudad de México,13717.8,6000.57,19718.37,Febrero,Becario
N-123,Mariana Sanchez,Femenino,43,Chihuahua,11574.36,6337.45,17911.81,Febrero,Becario
N-124,Sofia Gonzalez,Masculino,35,Nuevo León,11763.34,2326.47,14089.81,Febrero,Becario
N-125,Sofia Garcia,Masculino,21,Nuevo León,17356.27,3255.61,20611.88,Febrero,Tiempo Completo
N-126,Miguel Sanchez,Masculino,31,Jalisco,24042.38,4399.81,28442.190000000002,Febrero,Tiempo Completo
N-127,Maria Martinez,Masculino,23,Jalisco,21305.91,9320.83,30626.739999999998,Febrero,Por Hora
N-128,Carlos Flores,Femenino,42,Nuevo León,13350.36,7096.86,20447.22,Febrero,Tiempo Completo
N-129,Maria Ramirez,Femenino,49,Sonora,17070.89,3159.68,20230.57,Febrero,Tiempo Completo
N-130,Mariana Lopez,Masculino,50,Puebla,14947.65,6868.97,21816.62,Febrero,Por Hora
N-131,Claudia Gonzalez,Masculino,52,Veracruz,12554.07,6637.89,19191.96,Febrero,Por Hora
N-132,Mariana Martinez,Femenino,62,Veracruz,22217.27,2904.96,25122.23,Febrero,Por Hora
N-133,Javier Garcia,Masculino,31,Sonora,12421.28,6647.07,19068.35,Febrero,Becario
N-134,Javier Sanchez,Femenino,22,Veracruz,15759.55,9143.93,24903.48,Febrero,Por Hora
N-135,Mariana Perez,Masculino,42,Nuevo León,19358.4,4592.56,23950.960000000003,Febrero,Tiempo Completo
N-136,Daniela Rodriguez,Masculino,31,Chihuahua,14274.48,2839.12,17113.6,Febrero,Tiempo Completo
N-137,Sofia Hernandez,Femenino,58,Sonora,6348.17,5649.79,11997.96,Febrero,Tiempo Completo
N-138,Miguel Garcia,Masculino,52,Michoacán,12392.2,7457.42,19849.620000000003,Febrero,Por Hora
N-139,Claudia Hernandez,Femenino,30,Veracruz,15233.24,4073.39,19306.63,Febrero,Por Hora
N-140,Javier Rodriguez,Femenino,31,Sonora,9033.11,7573.36,16606.47,Febrero,Becario
N-141,Maria Gonzalez,Masculino,61,Michoacán,15857.81,9836.28,25694.09,Febrero,Becario
N-142,Sofia Garcia,Masculino,53,Nuevo León,21245.15,988.89,22234.04,Febrero,Por Hora
N-143,Sofia Garcia,Masculino,47,Ciudad de México,11699.52,8832.8,20532.32,Febrero,Tiempo Completo
N-144,Miguel Flores,Masculino,20,Jalisco,19863.38,401.93,20265.31,Febrero,Becario
N-145,Mariana Rodriguez,Masculino,60,Chihuahua,22202.08,9330.53,31532.61,Febrero,Tiempo Completo
N-146,Mariana Martinez,Masculino,41,Tamaulipas,12307.92,4438.1,16746.02,Febrero,Tiempo Completo
N-147,Sofia Flores,Femenino,32,Veracruz,9145.1,1417.64,10562.74,Febrero,Por Hora
N-148,Mariana Ramirez,Femenino,25,Puebla,14761.02,2019.8,16780.82,Febrero,Por Hora
N-149,Miguel Sanchez,Femenino,60,Sonora,18658.67,6605.74,25264.409999999996,Febrero,Por Hora
N-150,Alejandro Gonzalez,Masculino,54,Veracruz,15635.97,4557.38,20193.35,Febrero,Tiempo Completo
N-151,Javier Gonzalez,Masculino,37,Ciudad de México,18013.45,4228.19,22241.64,Febrero,Becario
N-152,Miguel Gonzalez,Masculino,33,Jalisco,14017.18,9606.72,23623.9,Febrero,Becario
N-153,Sofia Lopez,Femenino,60,Tamaulipas,17980.0,8063.59,26043.59,Febrero,Por Hora
N-154,Alejandro Ramirez,Masculino,45,Veracruz,14349.93,5837.5,20187.43,Febrero,Becario
N-155,Alejandro Lopez,Femenino,45,Michoacán,6125.87,9739.2,15865.07,Febrero,Tiempo Completo
N-156,Alejandro Flores,Femenino,25,Chihuahua,8693.97,2664.46,11358.43,Febrero,Becario
N-157,Maria Lopez,Masculino,32,Nuevo León,24757.92,4180.71,28938.629999999997,Febrero,Por Hora
N-158,Daniela Sanchez,Femenino,58,Puebla,12964.19,1543.55,14507.74,Febrero,Por Hora
N-159,Maria Sanchez,Femenino,24,Nuevo León,22912.01,7169.07,30081.079999999998,Febrero,Tiempo Completo
N-160,Miguel Hernandez,Masculino,55,Tamaulipas,24623.39,4813.43,29436.82,Febrero,Becario
N-161,Mariana Rodriguez,Femenino,57,Guerrero,16765.89,6842.15,23608.04,Febrero,Becario
N-162,Miguel Gonzalez,Femenino,61,Puebla,10142.6,7298.33,17440.93,Febrero,Tiempo Completo
N-163,Daniela Garcia,Masculino,47,Veracruz,6269.68,7902.74,14172.42,Febrero,Tiempo Completo
N-164,Mariana Gonzalez,Masculino,45,Ciudad de México,17940.11,7484.24,25424.35,Febrero,Por Hora
N-165,Mariana Hernandez,Femenino,30,Puebla,17209.0,8920.98,26129.98,Febrero,Por Hora
N-166,Carlos Ramirez,Femenino,37,Guerrero,9272.69,6456.37,15729.060000000001,Febrero,Tiempo Completo
N-167,Miguel Martinez,Femenino,41,Puebla,22530.54,7417.71,29948.25,Febrero,Por Hora
N-168,Sofia Rodriguez,Femenino,55,Michoacán,21812.73,9238.57,31051.3,Febrero,Por Hora
N-169,Daniela Gonzalez,Masculino,32,Puebla,16177.1,3646.05,19823.15,Febrero,Por Hora
N-170,Rodrigo Sanchez,Femenino,24,Michoacán,9935.59,9788.83,19724.42,Febrero,Tiempo Completo
N-171,Javier Hernandez,Masculino,40,Sonora,12164.01,2113.29,14277.3,Febrero,Tiempo Completo
N-172,Alejandro Martinez,Femenino,26,Michoacán,7362.09,4128.5,11490.59,Febrero,Becario
N-173,Maria Rodriguez,Femenino,63,Veracruz,5315.45,975.8,6291.25,Febrero,Becario
N-174,Maria Perez,Femenino,53,Chihuahua,17429.32,8972.45,26401.77,Febrero,Tiempo Completo
N-175,Miguel Flores,Femenino,61,Michoacán,6407.36,1887.88,8295.24,Febrero,Tiempo Completo
N-176,Claudia Martinez,Femenino,33,Ciudad de México,10144.14,5057.81,15201.95,Febrero,Por Hora
N-177,Sofia Hernandez,Femenino,49,Veracruz,9844.37,9483.86,19328.230000000003,Febrero,Tiempo Completo
N-178,Carlos Martinez,Masculino,56,Chihuahua,24104.93,503.92,24608.85,Febrero,Por Hora
N-179,Miguel Gonzalez,Masculino,48,Sonora,17973.18,4724.37,22697.55,Febrero,Tiempo Completo
N-180,Alejandro Ramirez,Femenino,61,Puebla,13048.13,2112.68,15160.81,Febrero,Tiempo Completo
N-181,Maria Garcia,Masculino,62,Guerrero,16530.5,317.37,16847.87,Febrero,Becario
N-182,Maria Flores,Femenino,24,Chihuahua,22593.48,8366.72,30960.199999999997,Febrero,Becario
N-183,Daniela Perez,Masculino,63,Ciudad de México,7001.29,7144.39,14145.68,Febrero,Tiempo Completo
N-184,Rodrigo Flores,Femenino,47,Puebla,14045.48,674.72,14720.199999999999,Febrero,Por Hora
N-185,Rodrigo Martinez,Masculino,28,Ciudad de México,21190.09,9378.29,30568.38,Febrero,Becario
N-186,Carlos Martinez,Masculino,40,Tamaulipas,12289.35,2499.4,14788.75,Febrero,Becario
N-187,Carlos Lopez,Masculino,44,Nuevo León,17661.91,9904.03,27565.940000000002,Febrero,Becario
N-188,Mariana Rodriguez,Masculino,39,Guerrero,8788.03,5046.99,13835.02,Febrero,Tiempo Completo
N-189,Javier Lopez,Femenino,19,Sonora,5079.41,576.29,5655.7,Febrero,Tiempo Completo
N-190,Maria Perez,Femenino,25,Ciudad de México,14665.94,8278.94,22944.88,Febrero,Tiempo Completo
N-191,Sofia Gonzalez,Femenino,37,Ciudad de México,12110.04,6559.09,18669.13,Febrero,Por Hora
N-192,Rodrigo Hernandez,Femenino,33,Chihuahua,12204.88,6800.03,19004.91,Febrero,Por Hora
N-193,Mariana Hernandez,Femenino,49,Guerrero,24664.11,3861.76,28525.870000000003,Febrero,Becario
N-194,Carlos Garcia,Masculino,46,Michoacán,8991.05,2875.39,11866.439999999999,Febrero,Tiempo Completo
N-195,Alejandro Martinez,Femenino,56,Sonora,7514.36,8229.64,15744.0,Febrero,Becario
N-196,Rodrigo Gonzalez,Masculino,28,Sonora,9643.26,8817.63,18460.89,Febrero,Tiempo Completo
N-197,Claudia Lopez,Masculino,30,Puebla,18332.71,3891.52,22224.23,Febrero,Becario
N-198,Claudia Sanchez,Masculino,57,Tamaulipas,24781.05,95.55,24876.6,Febrero,Tiempo Completo
N-199,Maria Perez,Masculino,44,Guerrero,22347.01,8996.6,31343.61,Febrero,Becario
N-200,Claudia Ramirez,Femenino,40,Guerrero,24183.89,5040.91,29224.8,Febrero,Por Hora
N-201,Alejandro Rodriguez,Femenino,60,Tamaulipas,15994.3,7233.46,23227.76,Marzo,Becario
N-202,Claudia Ramirez,Femenino,46,Michoacán,24540.68,2996.12,27536.8,Marzo,Por Hora
N-203,Alejandro Rodriguez,Masculino,61,Puebla,23545.19,6358.63,29903.82,Marzo,Becario
N-204,Sofia Martinez,Masculino,63,Nuevo León,17682.17,2011.88,19694.05,Marzo,Por Hora
N-205,Miguel Garcia,Femenino,59,Guerrero,12227.32,3839.69,16067.01,Marzo,Becario
N-206,Carlos Gonzalez,Masculino,54,Veracruz,12378.95,6142.65,18521.6,Marzo,Tiempo Completo
N-207,Mariana Martinez,Femenino,41,Ciudad de México,17473.07,187.53,17660.6,Marzo,Tiempo Completo
N-208,Javier Lopez,Femenino,28,Guerrero,19696.96,5172.45,24869.41,Marzo,Becario
N-209,Alejandro Garcia,Femenino,38,Nuevo León,16292.14,1480.12,17772.26,Marzo,Por Hora
N-210,Carlos Martinez,Femenino,22,Jalisco,22122.54,745.74,22868.280000000002,Marzo,Tiempo Completo
N-211,Carlos Lopez,Masculino,26,Veracruz,17274.06,1412.43,18686.49,Marzo,Becario
N-212,Mariana Flores,Masculino,24,Guerrero,23152.49,38.86,23191.350000000002,Marzo,Tiempo Completo
N-213,Daniela Hernandez,Masculino,19,Sonora,16315.34,8156.89,24472.23,Marzo,Becario
N-214,Miguel Sanchez,Femenino,34,Michoacán,20774.57,953.89,21728.46,Marzo,Tiempo Completo
N-215,Daniela Gonzalez,Femenino,32,Guerrero,22932.02,7505.86,30437.88,Marzo,Por Hora
N-216,Miguel Gonzalez,Femenino,27,Jalisco,20006.4,5068.44,25074.84,Marzo,Becario
N-217,Alejandro Hernandez,Masculino,35,Jalisco,19877.97,4551.68,24429.65,Marzo,Becario
N-218,Daniela Sanchez,Masculino,33,Puebla,7307.18,9639.28,16946.46,Marzo,Tiempo Completo
N-219,Alejandro Perez,Masculino,63,Guerrero,21355.63,3586.05,24941.68,Marzo,Tiempo Completo
N-220,Sofia Perez,Femenino,62,Ciudad de México,15964.01,4591.14,20555.15,Marzo,Por Hora
N-221,Maria Martinez,Femenino,63,Jalisco,14287.9,4884.57,19172.47,Marzo,Tiempo Completo
N-222,Claudia Ramirez,Masculino,44,Chihuahua,13614.0,46.12,13660.12,Marzo,Becario
N-223,Carlos Sanchez,Femenino,31,Sonora,7857.47,1757.13,9614.6,Marzo,Por Hora
N-224,Sofia Hernandez,Femenino,30,Puebla,12317.47,9413.84,21731.309999999998,Marzo,Becario
N-225,Sofia Perez,Masculino,64,Sonora,21883.12,2738.34,24621.46,Marzo,Becario
N-226,Rodrigo Sanchez,Femenino,56,Veracruz,20523.73,7856.22,28379.95,Marzo,Tiempo Completo
N-227,Sofia Hernandez,Masculino,46,Tamaulipas,15480.13,2070.55,17550.68,Marzo,Becario
N-228,Maria Hernandez,Masculino,33,Chihuahua,10167.68,8207.1,18374.78,Marzo,Becario
N-229,Daniela Perez,Femenino,28,Puebla,20843.21,7685.09,28528.3,Marzo,Tiempo Completo
N-230,Mariana Sanchez,Masculino,50,Guerrero,13695.8,9009.46,22705.26,Marzo,Tiempo Completo
N-231,Maria Perez,Femenino,40,Guerrero,10087.41,8084.56,18171.97,Marzo,Tiempo Completo
N-232,Rodrigo Martinez,Masculino,18,Ciudad de México,10044.82,5674.38,15719.2,Marzo,Tiempo Completo
N-233,Daniela Flores,Masculino,51,Veracruz,14379.74,4940.47,19320.21,Marzo,Por Hora
N-234,Rodrigo Lopez,Masculino,51,Jalisco,22150.35,7222.84,29373.19,Marzo,Por Hora
N-235,Carlos Hernandez,Masculino,65,Puebla,18797.94,5071.01,23868.949999999997,Marzo,Tiempo Completo
N-236,Claudia Flores,Femenino,28,Chihuahua,7551.44,5079.96,12631.4,Marzo,Becario
N-237,Miguel Hernandez,Masculino,53,Sonora,17577.03,2360.61,19937.64,Marzo,Por Hora
N-238,Sofia Hernandez,Masculino,18,Jalisco,21148.39,6649.31,27797.7,Marzo,Tiempo Completo
N-239,Rodrigo Rodriguez,Masculino,30,Puebla,22170.98,3804.84,25975.82,Marzo,Tiempo Completo
N-240,Miguel Martinez,Femenino,65,Veracruz,24514.73,9834.7,34349.43,Marzo,Tiempo Completo
N-241,Alejandro Gonzalez,Femenino,48,Sonora,6444.08,9651.36,16095.44,Marzo,Becario
N-242,Maria Ramirez,Masculino,36,Ciudad de México,21132.16,3478.71,24610.87,Marzo,Becario
N-243,Claudia Rodriguez,Femenino,43,Chihuahua,8976.74,5027.41,14004.15,Marzo,Tiempo Completo
N-244,Miguel Rodriguez,Masculino,43,Michoacán,22200.1,329.9,22530.0,Marzo,Por Hora
N-245,Rodrigo Martinez,Masculino,58,Chihuahua,15124.7,7236.24,22360.940000000002,Marzo,Por Hora
N-246,Rodrigo Sanchez,Femenino,38,Veracruz,14516.5,7315.29,21831.79,Marzo,Becario
N-247,Carlos Gonzalez,Femenino,20,Michoacán,18740.82,4516.56,23257.38,Marzo,Por Hora
N-248,Maria Gonzalez,Femenino,55,Chihuahua,19237.07,606.44,19843.51,Marzo,Tiempo Completo
N-249,Javier Gonzalez,Masculino,24,Guerrero,9817.1,5008.61,14825.71,Marzo,Por Hora
N-250,Sofia Lopez,Masculino,59,Sonora,9921.55,9419.38,19340.93,Marzo,Por Hora
N-251,Sofia Ramirez,Femenino,27,Nuevo León,7934.86,1468.22,9403.08,Marzo,Tiempo Completo
N-252,Carlos Garcia,Masculino,56,Nuevo León,14642.69,2983.8,17626.49,Marzo,Por Hora
N-253,Javier Rodriguez,Masculino,21,Puebla,11942.91,6282.55,18225.46,Marzo,Por Hora
N-254,Javier Hernandez,Masculino,34,Sonora,11541.37,7721.93,19263.300000000003,Marzo,Tiempo Completo
N-255,Rodrigo Garcia,Masculino,35,Guerrero,10129.43,6991.6,17121.03,Marzo,Por Hora
N-256,Alejandro Perez,Masculino,50,Veracruz,17884.79,7925.29,25810.08,Marzo,Por Hora
N-257,Carlos Garcia,Femenino,54,Nuevo León,10284.52,4873.1,15157.62,Marzo,Por Hora
N-258,Daniela Ramirez,Femenino,52,Jalisco,20942.81,3024.87,23967.68,Marzo,Becario
N-259,Mariana Garcia,Femenino,42,Tamaulipas,13768.56,9747.37,23515.93,Marzo,Por Hora
N-260,Claudia Ramirez,Femenino,44,Veracruz,21986.58,8371.94,30358.520000000004,Marzo,Tiempo Completo
